first_year_payment,yearly_payments,down_payment,adjusted_price,lat,lon,price,usage,style
25391,6123,19268,96339,42.33043,-71.055077,68150,CONDOMINIUM,FREE-STANDNG
277375,117728,159647,1641448,42.334306,-71.041401,1460000,3-FAM RES,DECKER
218317,34142,184175,613917,42.299314,-71.143417,470000,1-FAM RES,RANCH
202100,48738,153362,766807,42.310465,-71.076974,617500,3-FAM RES,ROW-MIDDLE
2096986,378811,1718175,6486110,42.342849,-71.088408,3775000,9 + UNIT APT,CONDO/APT
87894,21196,66698,333489,42.257872,-71.11651,275000,1-FAM RES,COLONIAL
178208,42976,135232,676158,42.312191,-71.05889,510000,4-8 UNIT APT,CONDO/APT
3210894,774336,2436558,12182787,42.355395,-71.073063,9000000,CONDOMINIUM,MID-RISE
14756,3558,11198,55988,42.321486,-71.08555,47000,3-FAM RES,CONVENTIONAL
102038,24607,77431,387155,42.344346,-71.14423,325000,CONDOMINIUM,LOW-RISE
102038,24607,77431,387155,42.344266,-71.143872,325000,CONDOMINIUM,LOW-RISE
220535,53184,167351,836755,42.377649,-71.035873,690000,3-FAM RES,CONVENTIONAL
36611613,5295273,31316340,97965610,42.27739,-71.069464,75000000,1-FAM RES,RANCH
2307318,674557,1632761,10123113,42.355292,-71.072767,7750000,9 + UNIT APT,CONDO/APT
252010,42811,209199,748044,42.357369,-71.052621,590000,CONDOMINIUM,MID-RISE
144008,34728,109280,546396,42.381876,-71.0353,425000,2-FAM RES,TWO FAMILY
61121,31927,29194,431048,42.306324,-71.078818,330000,3-FAM RES,CONVENTIONAL
52366,12628,39738,198686,42.250807,-71.111711,160000,RES DEV LAND,COLONIAL
204733,49373,155360,776797,42.365871,-71.056315,499000,CONDOMINIUM,ROW-END
414841,100042,314799,1573992,42.376658,-71.035966,1400000,MXU RES+COM,RAISED CAPE
259937,62686,197251,986253,42.366097,-71.051114,706000,OFFICE CONDO,ROW-MIDDLE
740787,178647,562140,2810700,42.387083,-71.005842,2500000,MXU RES+COM,CONDO/APT
450012,90805,359207,1502139,42.264815,-71.12267,1150000,2-FAM RES,DUPLEX
504497,119845,384652,1893089,42.366496,-71.051362,1255000,CONDOMINIUM,MID-RISE
1783713,430158,1353555,6767775,42.346289,-71.073103,5450000,9 + UNIT APT,CONDO/APT
201281,48540,152741,763703,42.366432,-71.035465,615000,3-FAM RES,ROW-MIDDLE
64647,48072,16575,621647,42.37248,-71.035929,445000,4-8 UNIT APT,CONDO/APT
234350,56515,177835,889175,42.361896,-71.052821,629000,CONDOMINIUM,ROW-MIDDLE
186944,45083,141861,709303,42.336498,-71.040717,535000,CONDOMINIUM,DECKER
203779,49143,154636,773178,42.336803,-71.08516,450000,MXU RES+COM,CONDO/APT
792511,191121,601390,3006946,42.336776,-71.085209,2338875,MXU RES+COM,CONDO/APT
325754,78558,247196,1235977,42.349847,-71.091522,1050000,CONDOMINIUM,MID-RISE
581705,99590,482115,1735611,42.336723,-71.085306,1350000,MXU RES+COM,RAISED CAPE
565769,88481,477288,1590961,42.336723,-71.085306,1200000,MXU RES+COM,RAISED CAPE
768741,185388,583353,2916762,42.355538,-71.058125,2200000,OTHER EXEMPT,CONDO/APT
140278,33829,106449,532241,42.353487,-71.076713,375000,CONDOMINIUM,ROW-MIDDLE
145279,35035,110244,551219,42.369355,-71.036749,422000,3-FAM RES,DECKER
38352,9248,29104,145516,42.373991,-71.063299,107500,CONDOMINIUM,LOW-RISE
133975,32309,101666,508327,42.380815,-71.068293,307500,2-FAM RES,CONVENTIONAL
784912,189288,595624,2978116,42.344601,-71.073723,2500000,1-FAM RES,ROW-MIDDLE
